AoA,AoS,V,CL,CD
-0.006,0.0,19.992549540786282,0.1770511993867136,0.060927954404316045
0.001,0.0,20.015956285738458,0.1803127292398228,0.06149833590387023
0.005,0.0,19.997796887187,0.178846116166884,0.06165316519160859
2.5,0.0,19.99428834060327,0.4522433696971212,0.06550278209352936
5.0,0.0,19.989603760024032,0.715521090987566,0.07499115037806581
6.0,0.0,19.994774905778772,0.8137967015072248,0.08038430209757857
7.0,0.0,19.996394852305134,0.902519853360827,0.0873021831751315
8.0,0.0,19.990774206329647,0.9723337973179487,0.09689363253925169
9.0,0.0,19.9910075151985,1.0214262107363667,0.10957645696842191
10.0,0.0,19.988196834081975,1.0712168791528227,0.12361361872446858
11.0,0.0,19.991592508928303,1.1246160537282597,0.13758503686104923
12.0,0.0,19.98843023824316,1.1877282823631912,0.15712609453766474
13.0,0.0,19.991240689830384,1.2242681084967157,0.177602051493422
14.0,0.0,19.99311410659753,1.2053466323243442,0.21216349580163746
